"year","country","school_id","student_id","mother_educ","father_educ","gender","computer","internet","math","read","science","stu_wgt","desk","room","dishwasher","television","computer_n","car","book","wealth","escs"
2022,"MEX","48400126",48402679,"ISCED 1",NA,"male","no","yes",289.1,274.51,337.145,342.7484,NA,"yes",NA,"1","0","0","0-10",NA,-3.0332
2022,"MEX","48400219",48402680,"ISCED 3A","ISCED 3A","female","yes","yes",539.821,536.19,494.802,290.4469,NA,"yes",NA,"2","0","2","26-100",NA,0.7831
2022,"MEX","48400107",48402681,"ISCED 3B, C","ISCED 3A","female","yes","yes",494.703,473.684,494.755,198.5455,NA,"yes",NA,"2","1","3+","26-100",NA,1.3866
2022,"MEX","48400168",48402682,"ISCED 3A","ISCED 3B, C","male","yes","yes",484.668,479.376,518.46,229.4079,NA,"yes",NA,"2","1","1","11-25",NA,0.684
2022,"MEX","48400102",48402683,"ISCED 3B, C","ISCED 3A","female","no","yes",391.9,415.388,386.182,223.8876,NA,"no",NA,"1","0","1","26-100",NA,-0.0265
2022,"MEX","48400059",48402684,"ISCED 3A","ISCED 3A","male","no","no",283.95,278.704,319.789,104.2764,NA,"no",NA,"1","0","1","101-200",NA,-1.1422
2022,"MEX","48400191",48402685,"ISCED 2","ISCED 3B, C","male","yes","yes",357.01,337.843,434.53,238.2545,NA,"no",NA,"2","0","3+","0-10",NA,-0.4304
2022,"MEX","48400003",48402686,"ISCED 2","ISCED 2","male","yes","yes",523.777,557.457,504.695,226.4321,NA,"yes",NA,"1","0","0","11-25",NA,-1.9498
2022,"MEX","48400187",48402687,"ISCED 2","ISCED 3B, C","female","yes","yes",431.338,504.701,499.234,159.2549,NA,"yes",NA,"1","1","1","101-200",NA,0.4575
2022,"MEX","48400176",48402688,"ISCED 3A","ISCED 2","female","yes","yes",366.195,412.122,452.091,195.1722,NA,"no",NA,"1","0","1","26-100",NA,-1.6429
2022,"MEX","48400004",48402689,"ISCED 3A","ISCED 3A","male","yes","yes",527.228,594.059,545.968,392.3137,NA,"yes",NA,"2","1","2","101-200",NA,0.0026
2022,"MEX","48400059",48402690,"ISCED 1","ISCED 2","male","no","yes",347.84,369.253,335.63,104.2764,NA,"no",NA,"1","0","0","11-25",NA,-2.5835
2022,"MEX","48400180",48402691,"ISCED 3A","ISCED 2","female","yes","yes",435.106,512.115,458.086,211.6033,NA,"yes",NA,"1","0","1","101-200",NA,-1.0488
2022,"MEX","48400015",48402692,"ISCED 3B, C","ISCED 3B, C","female","yes","yes",306.837,349.77,283.079,283.8134,NA,"yes",NA,"1","0","0","0-10",NA,-1.7221
2022,"MEX","48400025",48402693,"ISCED 3A","ISCED 3A","male","yes","yes",393.145,387.48,441.027,122.2864,NA,"yes",NA,"2","1","3+","11-25",NA,0.5856
2022,"MEX","48400029",48402694,"ISCED 3B, C","ISCED 3B, C","male","yes","yes",373.209,403.005,461.59,290.7493,NA,"yes",NA,"2","1","3+","0-10",NA,0.9597
2022,"MEX","48400151",48402696,"ISCED 2","less than ISCED1","female","no","yes",411.413,430.405,406.607,125.1022,NA,"yes",NA,"1","0","0","26-100",NA,-0.6485
2022,"MEX","48400061",48402697,"ISCED 2","ISCED 1","male","yes","yes",441.715,418.473,444.92,156.7169,NA,"yes",NA,"1","0","1","0-10",NA,-1.9897
2022,"MEX","48400054",48402698,"ISCED 2","ISCED 3B, C","male","yes","yes",362.913,374.607,439.339,371.2778,NA,"no",NA,"1","0","2","11-25",NA,0.5692
2022,"MEX","48400078",48402699,"ISCED 3B, C","ISCED 3B, C","male","yes","yes",431.258,479.699,472.758,218.984,NA,"yes",NA,"1","1","1","101-200",NA,0.8043
2022,"MEX","48400097",48402700,"ISCED 1","ISCED 1","male","no","yes",306.301,263.573,277.536,282.6155,NA,"yes",NA,"1","0","0","0-10",NA,-3.507
2022,"MEX","48400004",48402701,"ISCED 3A","ISCED 3A","female","yes","yes",485.434,544.761,500.535,349.1518,NA,"no",NA,"1","1","2","101-200",NA,1.034
2022,"MEX","48400157",48402702,"ISCED 3B, C","ISCED 3B, C","male","yes","yes",361.201,401.206,426.165,64.56856,NA,"yes",NA,"2","2","0","11-25",NA,0.8134
2022,"MEX","48400121",48402703,"ISCED 3A","ISCED 2","male","yes","yes",434.867,421.084,411.736,272.8611,NA,"no",NA,NA,"0","0","11-25",NA,-1.6673
2022,"MEX","48400206",48402704,"ISCED 3A","less than ISCED1","female","no","yes",364.913,355.967,339.446,442.181,NA,"yes",NA,"1","0","1","101-200",NA,-1.5416
2022,"MEX","48400070",48402705,"ISCED 1","ISCED 3A","male","no","yes",391.988,410.08,362.525,214.144,NA,"yes",NA,"2","0","0","26-100",NA,-1.2556
2022,"MEX","48400014",48402706,"ISCED 2","ISCED 2","male","no","no",291.731,376.798,350.411,101.341,NA,"no",NA,"1","0","1","0-10",NA,-2.5368
2022,"MEX","48400168",48402707,"ISCED 2",NA,"female","yes","yes",353.321,352.929,353.341,209.2695,NA,"yes",NA,"2","1","1","101-200",NA,-1.4944
2022,"MEX","48400190",48402708,"ISCED 2","ISCED 2","female","no","no",331.668,363.56,344.049,78.18452,NA,"no",NA,NA,NA,"0","11-25",NA,-2.9365
2022,"MEX","48400162",48402709,"ISCED 2","ISCED 1","male","no","no",416.11,403.494,441.637,109.267,NA,"no",NA,"1","0","0","11-25",NA,-2.5951
2022,"MEX","48400165",48402711,"ISCED 3A",NA,"female","no","yes",412.36,467.468,414.664,145.9768,NA,"no",NA,"1","0","0","0-10",NA,-1.6546
2022,"MEX","48400113",48402712,"ISCED 3A","ISCED 3A","male","no","yes",369.61,437.738,433.026,444.0642,NA,"no",NA,"1","0","0","101-200",NA,-1.1167
2022,"MEX","48400241",48402713,"ISCED 2","ISCED 2","male","yes","yes",311.779,318.815,294.128,217.32,NA,"yes",NA,"1","1",NA,"101-200",NA,-0.8266
2022,"MEX","48400229",48402714,"ISCED 1","ISCED 1","female","no","no",355.856,292.737,314.348,236.9136,NA,"no",NA,"1","0","0","0-10",NA,-3.1204
2022,"MEX","48400048",48402716,"ISCED 3B, C","ISCED 3A","male","no","yes",486.675,532.616,530.796,226.2028,NA,"no",NA,"1","0","0","26-100",NA,-0.1677
2022,"MEX","48400060",48402717,"ISCED 3A","ISCED 3A","male","yes","yes",407.48,384.346,451.542,432.5301,NA,"no",NA,"2",NA,"1","26-100",NA,0.5919
2022,"MEX","48400069",48402718,"ISCED 1","ISCED 2","male","no","yes",315.993,270.116,328.432,189.5876,NA,"no",NA,"1","0","0","0-10",NA,-2.7768
2022,"MEX","48400156",48402719,"ISCED 2",NA,"female","yes","yes",339.84,334.422,339.493,175.6545,NA,"no",NA,"1","0","0","11-25",NA,-2.0625
2022,"MEX","48400239",48402720,"ISCED 3A","ISCED 3A","female","no","yes",469.541,477.267,480.501,54.70155,NA,"no",NA,"1","0","0","101-200",NA,-1.2162
2022,"MEX","48400144",48402721,"ISCED 3A","ISCED 2","male","yes","yes",460.081,472.475,461.08,150.8958,NA,"no",NA,"1","1","2","11-25",NA,0.6712
2022,"MEX","48400004",48402722,"ISCED 3A","ISCED 3A","male","yes","yes",524.65,563.74,557.518,392.3137,NA,"yes",NA,"2","1","2","11-25",NA,0.2409
2022,"MEX","48400004",48402724,"ISCED 3B, C","ISCED 3A","female","yes","yes",485.221,573.775,501.088,349.1518,NA,"no",NA,"1","1","1","101-200",NA,1.1444
2022,"MEX","48400006",48402725,"ISCED 3A","ISCED 3B, C","female","yes","yes",462.498,473.296,464.135,193.5209,NA,"yes",NA,"2","0","2","26-100",NA,-0.2034
2022,"MEX","48400103",48402726,"ISCED 3A","ISCED 2","female","no","no",348.882,447.416,403.818,241.4173,NA,"no",NA,"1","0","0","101-200",NA,-2.1755
2022,"MEX","48400083",48402727,"ISCED 2","ISCED 3B, C","female","yes","yes",543.953,546.722,554.94,220.5901,NA,"no",NA,"1","1","1",NA,NA,0.8243
2022,"MEX","48400082",48402728,"ISCED 1","ISCED 2","male","yes","yes",295.896,253.468,307.555,272.5552,NA,"yes",NA,"1","0","0","26-100",NA,-1.8083
2022,"MEX","48400004",48402730,"ISCED 3A","ISCED 3A","female","yes","yes",414.082,423.177,468.212,349.1518,NA,"yes",NA,"1",NA,"3+","101-200",NA,0.1839
2022,"MEX","48400058",48402731,"ISCED 2","ISCED 1","female","yes","yes",450.112,462.731,504.893,217.748,NA,"no",NA,"1","1","0","26-100",NA,-1.9487
2022,"MEX","48400209",48402732,"ISCED 2","ISCED 2","female","yes","yes",520.229,523.404,568.391,213.7941,NA,"no",NA,"1","1","0","26-100",NA,-1.442
2022,"MEX","48400130",48402733,"ISCED 3A","ISCED 3A","male","yes","no",310.903,316.162,283.722,125.975,NA,"yes",NA,"1","1","0","101-200",NA,-0.1499
2022,"MEX","48400155",48402734,"ISCED 2","ISCED 2","female","no","yes",373.417,335.591,370.655,452.1381,NA,"no",NA,"1","0","0","11-25",NA,-1.8486
2022,"MEX","48400078",48402735,"ISCED 3B, C","ISCED 3A","female","yes","yes",382.69,441.59,398.861,206.1026,NA,"no",NA,"1","1","0","101-200",NA,0.3648
2022,"MEX","48400130",48402736,"ISCED 2","ISCED 3A","female","yes","yes",349.41,361.921,335.247,133.3853,NA,"no",NA,"1","0","0","0-10",NA,-0.9029
2022,"MEX","48400260",48402737,"ISCED 3A","ISCED 2","male","yes","yes",354.855,375.025,474.743,244.4178,NA,"no",NA,"1","1","1","101-200",NA,-0.5144
2022,"MEX","48400170",48402738,"ISCED 3A","ISCED 3A","female","yes","yes",390.355,379.592,416.927,219.0384,NA,"yes",NA,"1","0","2","11-25",NA,-0.1942
2022,"MEX","48400241",48402739,"ISCED 3A","ISCED 2","male","no","yes",314.054,278.734,308.183,217.32,NA,"yes",NA,"3+","0","3+","101-200",NA,0.3702
2022,"MEX","48400078",48402740,"ISCED 3B, C","ISCED 3A","female","yes","yes",364.531,392.772,333.716,206.1026,NA,"no",NA,"1","0","1","11-25",NA,-0.9907
2022,"MEX","48400246",48402741,"ISCED 3B, C","ISCED 3B, C","female","no","yes",317.185,350.594,376.699,784.3405,NA,"no",NA,"1","0","2","101-200",NA,-0.7386
2022,"MEX","48400107",48402742,"ISCED 2","ISCED 1","male","yes","yes",491.823,491.83,437.473,198.5455,NA,"yes",NA,"2","2","2","26-100",NA,-1.8051
2022,"MEX","48400195",48402743,"ISCED 1","less than ISCED1","male","no","no",398.955,350.705,364.279,190.1615,NA,"yes",NA,NA,NA,"0","11-25",NA,-3.5634
2022,"MEX","48400181",48402744,"ISCED 2","ISCED 1","male","no","yes",320.062,364.753,319.326,62.6467,NA,"yes",NA,"1","0","0","0-10",NA,-2.4552
