"year","country","school_id","fund_gov","fund_fees","fund_donation","enrol_boys","enrol_girls","stratio","public_private","staff_shortage","sch_wgt","school_size"
2022,"MEX","48400203",100,0,0,113,171,9.46666666666667,"2",0.833333333333333,NA,284
2022,"MEX","48400204",0,100,0,7,12,1.46153846153846,"1",0,NA,19
2022,"MEX","48400205",10,90,0,680,768,28.96,"2",0,NA,1448
2022,"MEX","48400206",0,100,0,13,12,8.33333333333333,"2",1,NA,25
2022,"MEX","48400207",0,0,0,669,761,21.6666666666667,"2",NA,NA,1430
2022,"MEX","48400208",40,60,0,797,686,30.8958333333333,"2",1,NA,1483
2022,"MEX","48400209",100,0,0,1674,2512,25.5243902439024,"2",1,NA,4186
2022,"MEX","48400210",5,95,0,803,1004,26.9701492537313,"2",0.253731343283582,NA,1807
2022,"MEX","48400211",0,70,20,167,203,NA,"2",NA,NA,370
2022,"MEX","48400212",0,100,0,51,38,3.70833333333333,"2",1,NA,89
2022,"MEX","48400213",10,70,20,55,46,20.2,"2",0,NA,101
2022,"MEX","48400214",0,100,0,358,302,11.7857142857143,"1",0,NA,660
2022,"MEX","48400215",25,50,25,42,51,15.5,"2",0,NA,93
2022,"MEX","48400216",8,90,2,460,478,26.0555555555556,"2",0,NA,938
2022,"MEX","48400217",0,100,0,43,73,4.64,"1",1,NA,116
2022,"MEX","48400218",0,100,0,29,21,NA,"2",NA,NA,50
2022,"MEX","48400219",52,48,0,1174,2155,26.8467741935484,"2",0.0645161290322581,NA,3329
2022,"MEX","48400220",5,90,5,299,310,29,"2",0,NA,609
2022,"MEX","48400221",0,100,0,61,54,NA,"1",NA,NA,115
2022,"MEX","48400223",0,100,0,147,163,NA,"2",NA,NA,310
2022,"MEX","48400225",0,80,20,57,76,NA,"1",NA,NA,133
2022,"MEX","48400226",0,100,0,527,635,24.7234042553191,"2",0,NA,1162
2022,"MEX","48400227",0,100,0,180,200,6.90909090909091,"1",0.727272727272727,NA,380
